Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Phase 1,Firefox 138.0.3,,,16-05-2025 20:23:57,16-05-2025 20:35:30,11m - 33.933s,FAILED
,,,,,,,
Start listener action : beforeTestSuite,Firefox 138.0.3,,,16-05-2025 20:23:57,16-05-2025 20:23:57,0.011s,PASSED
,,,,,,,
Test Cases/Login_and_SignUp/Standard_Login_TC,Firefox 138.0.3,,,16-05-2025 20:23:57,16-05-2025 20:24:41,43.788s,PASSED
Start listener action : beforeTestCase,Firefox 138.0.3,,,16-05-2025 20:23:57,16-05-2025 20:23:57,0.010s,PASSED
"openBrowser("""")",Firefox 138.0.3,,,16-05-2025 20:23:57,16-05-2025 20:24:02,5.354s,PASSED
"navigateToUrl(""https://dev-portal.quantumtrades.com/"")",Firefox 138.0.3,,,16-05-2025 20:24:02,16-05-2025 20:24:09,6.919s,PASSED
"click(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/input_Enter your email or phone number""))",Firefox 138.0.3,,,16-05-2025 20:24:09,16-05-2025 20:24:10,0.890s,PASSED
"sendKeys(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/input_Enter your email or phone number""), ""yashkabra30@gmail.com"")",Firefox 138.0.3,,,16-05-2025 20:24:10,16-05-2025 20:24:11,0.584s,PASSED
delay(10),Firefox 138.0.3,,,16-05-2025 20:24:11,16-05-2025 20:24:21,10.033s,PASSED
"click(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/button_signInBtnEmailContinue""))",Firefox 138.0.3,,,16-05-2025 20:24:21,16-05-2025 20:24:21,0.503s,PASSED
"click(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/input_Please enter your password""))",Firefox 138.0.3,,,16-05-2025 20:24:21,16-05-2025 20:24:35,14.200s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/input_Please enter your password""), ""cvW8qx4B2o1WegCEDy41Xg=="")",Firefox 138.0.3,,,16-05-2025 20:24:35,16-05-2025 20:24:36,0.523s,PASSED
"click(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/button_signInBtnPasswordContinue""))",Firefox 138.0.3,,,16-05-2025 20:24:36,16-05-2025 20:24:36,0.453s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/p_user-welcome""), 0)",Firefox 138.0.3,,,16-05-2025 20:24:36,16-05-2025 20:24:40,3.555s,PASSED
closeBrowser(),Firefox 138.0.3,,,16-05-2025 20:24:40,16-05-2025 20:24:41,0.714s,PASSED
Start listener action : sampleAfterTestCase,Firefox 138.0.3,,,16-05-2025 20:24:41,16-05-2025 20:24:41,0.004s,PASSED
,,,,,,,
